/Users/nithin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-11 12:52:40,610 - INFO - Successfully synced 158 records for ABLBL
2026-02-11 12:52:41,613 - INFO - Processing 11/506: ABREL
2026-02-11 12:52:41,613 - INFO - Fetching data for ABREL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:41,613 - INFO - Fetching NSE data for ABREL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:42,112 - ERROR - NSE API returned status 503
2026-02-11 12:52:42,113 - INFO - Falling back to Yahoo Finance for ABREL
2026-02-11 12:52:42,113 - INFO - Fetching Yahoo Finance data for ABREL.NS
2026-02-11 12:52:42,773 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:43,100 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:43,245 - INFO - Stored 542 OHLC records
2026-02-11 12:52:43,334 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:43,335 - INFO - Updated sync status for ABREL
2026-02-11 12:52:43,336 - INFO - Successfully synced 542 records for ABREL
2026-02-11 12:52:44,338 - INFO - Processing 12/506: ABSLAMC
2026-02-11 12:52:44,339 - INFO - Fetching data for ABSLAMC from 2023-12-04 to 2026-02-11
2026-02-11 12:52:44,339 - INFO - Fetching NSE data for ABSLAMC from 2023-12-04 to 2026-02-11
2026-02-11 12:52:44,665 - ERROR - NSE API returned status 503
2026-02-11 12:52:44,665 - INFO - Falling back to Yahoo Finance for ABSLAMC
2026-02-11 12:52:44,665 - INFO - Fetching Yahoo Finance data for ABSLAMC.NS
2026-02-11 12:52:45,693 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:45,986 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:46,194 - INFO - Stored 542 OHLC records
2026-02-11 12:52:46,380 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:46,382 - INFO - Updated sync status for ABSLAMC
2026-02-11 12:52:46,383 - INFO - Successfully synced 542 records for ABSLAMC
2026-02-11 12:52:47,384 - INFO - Processing 13/506: ACC
2026-02-11 12:52:47,385 - INFO - Fetching data for ACC from 2023-12-04 to 2026-02-11
2026-02-11 12:52:47,385 - INFO - Fetching NSE data for ACC from 2023-12-04 to 2026-02-11
2026-02-11 12:52:47,768 - ERROR - NSE API returned status 503
2026-02-11 12:52:47,768 - INFO - Falling back to Yahoo Finance for ACC
2026-02-11 12:52:47,768 - INFO - Fetching Yahoo Finance data for ACC.NS
2026-02-11 12:52:48,568 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:48,913 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:48,997 - INFO - Stored 542 OHLC records
2026-02-11 12:52:49,081 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:49,083 - INFO - Updated sync status for ACC
2026-02-11 12:52:49,083 - INFO - Successfully synced 542 records for ACC
2026-02-11 12:52:50,084 - INFO - Processing 14/506: ACE
2026-02-11 12:52:50,084 - INFO - Fetching data for ACE from 2023-12-04 to 2026-02-11
2026-02-11 12:52:50,084 - INFO - Fetching NSE data for ACE from 2023-12-04 to 2026-02-11
2026-02-11 12:52:50,479 - ERROR - NSE API returned status 503
2026-02-11 12:52:50,479 - INFO - Falling back to Yahoo Finance for ACE
2026-02-11 12:52:50,479 - INFO - Fetching Yahoo Finance data for ACE.NS
2026-02-11 12:52:51,264 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:51,542 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:51,651 - INFO - Stored 542 OHLC records
2026-02-11 12:52:51,791 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:51,794 - INFO - Updated sync status for ACE
2026-02-11 12:52:51,794 - INFO - Successfully synced 542 records for ACE
2026-02-11 12:52:52,798 - INFO - Processing 15/506: ACMESOLAR
2026-02-11 12:52:52,798 - INFO - Fetching data for ACMESOLAR from 2023-12-04 to 2026-02-11
2026-02-11 12:52:52,798 - INFO - Fetching NSE data for ACMESOLAR from 2023-12-04 to 2026-02-11
2026-02-11 12:52:53,213 - ERROR - NSE API returned status 404
2026-02-11 12:52:53,213 - INFO - Falling back to Yahoo Finance for ACMESOLAR
2026-02-11 12:52:53,213 - INFO - Fetching Yahoo Finance data for ACMESOLAR.NS
2026-02-11 12:52:53,731 - INFO - Successfully fetched 309 records from Yahoo Finance
2026-02-11 12:52:54,010 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:54,112 - INFO - Stored 309 OHLC records
2026-02-11 12:52:54,191 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:54,192 - INFO - Updated sync status for ACMESOLAR
2026-02-11 12:52:54,192 - INFO - Successfully synced 309 records for ACMESOLAR
2026-02-11 12:52:55,192 - INFO - Processing 16/506: ADANIENSOL
2026-02-11 12:52:55,193 - INFO - Fetching data for ADANIENSOL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:55,193 - INFO - Fetching NSE data for ADANIENSOL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:55,345 - ERROR - NSE API returned status 503
2026-02-11 12:52:55,345 - INFO - Falling back to Yahoo Finance for ADANIENSOL
2026-02-11 12:52:55,345 - INFO - Fetching Yahoo Finance data for ADANIENSOL.NS
2026-02-11 12:52:56,191 - INFO - Successfully fetched 537 records from Yahoo Finance
2026-02-11 12:52:56,485 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:56,722 - INFO - Stored 537 OHLC records
2026-02-11 12:52:56,812 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:56,813 - INFO - Updated sync status for ADANIENSOL
2026-02-11 12:52:56,813 - INFO - Successfully synced 537 records for ADANIENSOL
2026-02-11 12:52:57,823 - INFO - Processing 17/506: ADANIENT
2026-02-11 12:52:57,824 - INFO - Fetching data for ADANIENT from 2023-12-04 to 2026-02-11
2026-02-11 12:52:57,824 - INFO - Fetching NSE data for ADANIENT from 2023-12-04 to 2026-02-11
2026-02-11 12:52:58,132 - ERROR - NSE API returned status 503
2026-02-11 12:52:58,132 - INFO - Falling back to Yahoo Finance for ADANIENT
2026-02-11 12:52:58,132 - INFO - Fetching Yahoo Finance data for ADANIENT.NS
2026-02-11 12:52:58,825 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:59,077 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:59,291 - INFO - Stored 542 OHLC records
2026-02-11 12:52:59,442 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:59,445 - INFO - Updated sync status for ADANIENT
2026-02-11 12:52:59,445 - INFO - Successfully synced 542 records for ADANIENT
2026-02-11 12:53:00,447 - INFO - Processing 18/506: ADANIGREEN
2026-02-11 12:53:00,447 - INFO - Fetching data for ADANIGREEN from 2023-12-04 to 2026-02-11
2026-02-11 12:53:00,447 - INFO - Fetching NSE data for ADANIGREEN from 2023-12-04 to 2026-02-11
2026-02-11 12:53:00,882 - ERROR - NSE API returned status 404
2026-02-11 12:53:00,882 - INFO - Falling back to Yahoo Finance for ADANIGREEN
2026-02-11 12:53:00,882 - INFO - Fetching Yahoo Finance data for ADANIGREEN.NS
2026-02-11 12:53:02,127 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:53:02,406 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:53:02,596 - INFO - Stored 542 OHLC records
2026-02-11 12:53:02,730 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:53:02,731 - INFO - Updated sync status for ADANIGREEN
2026-02-11 12:53:02,731 - INFO - Successfully synced 542 records for ADANIGREEN
2026-02-11 12:53:03,734 - INFO - Processing 19/506: ADANIPORTS
2026-02-11 12:53:03,734 - INFO - Fetching data for ADANIPORTS from 2023-12-04 to 2026-02-11
2026-02-11 12:53:03,734 - INFO - Fetching NSE data for ADANIPORTS from 2023-12-04 to 2026-02-11
2026-02-11 12:53:03,909 - ERROR - NSE API returned status 404
2026-02-11 12:53:03,909 - INFO - Falling back to Yahoo Finance for ADANIPORTS
2026-02-11 12:53:03,909 - INFO - Fetching Yahoo Finance data for ADANIPORTS.NS
2026-02-11 12:53:04,512 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:53:04,793 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:53:04,973 - INFO - Stored 542 OHLC records
2026-02-11 12:53:05,072 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:53:05,073 - INFO - Updated sync status for ADANIPORTS
